Name of Borrower,Civil Status,Date of Birth,Place of Birth,Citizenship,Home Address,Home Address Ownership,Government Issued ID,Mobile No.,Email,Mother’s Maiden Name,Registered Business Name,Principal Business Address,Business Address Ownership,Years in Operation,Website/Social Media,Land Size (hectares),Annual Sales/Revenue,Loan Amount Applied For,Tenor (months),Repayment Frequency,Loan Facility,Loan Purpose,Type of Loan,Collateral,Source of Funds,Primary Crop Type,Farming Method,Irrigation Practices,Fertilizer & Pesticide Use,Soil & Water Conservation,Use of Renewable Energy,Employment (Workers),Fair Wages,Community Participation,Training & Education,Inclusivity,Record-Keeping,Certifications,Regular Buyers,Business Compliance,Environmental Score,Social Score,Governance Score,Business Score,Financial Score,AgriScore,Risk Category,Improvement Tips
Sarah Rivera,Single,07/11/1961,Natalie Ville,Filipino,"B04 L77 Dao Homes 7, Macapuno Avenue, Sibagat, 2628 Ilocos Sur",Living with relatives,PhilSys-1634-8711,09337543303,fletcheraaron@example.net,Mcdaniel,Bentley Farm,"1147-G Milky Way Road, Valencia, 5755 Leyte",Living with relatives,11,facebook.com/hunterfarm,3.51,172792,455445,36,Quarterly,Term Loan,Purchase of equipment/motor vehicles,Secured Loan,Farm lot title,Revenue,Vegetables,Organic,Drip,Organic,Crop Rotation,No,5,No,Supplier to community,Attended training,Employs women,None,Fair Trade,Supermarket,Business Plan,30,9,7,8,9,63,Medium Risk,Join a cooperative or attend training programs.; Obtain certifications and adopt digital record-keeping.; Formalize your business and secure regular buyers.; Grow revenue or request loan size aligned to revenue.
Erika Terry,Widow/er,05/16/1997,James Ville,Filipino,"8978-G Torres Drive, Sibutu, 6359 Siquijor",Owned (unencumbered),PhilSys-9518-9821,09356159514,nramos@example.net,Kennedy,Santana Farm,"8446E Milky Way Avenue, Gingoog, 8671 Davao del Norte",Rented,22,facebook.com/drakefarm,4.68,521947,415538,36,Lump sum,Credit line,Construction/Development of real estate,Secured Loan,None,Others,Coconut,Organic,Drip,Synthetic,None,Yes,4,No,Coop Member,No training,None,None,GAP,None,None,25,5,2,8,10,50,Medium Risk,Use efficient irrigation (drip/sprinkler) or add composting/mulching.; Join a cooperative or attend training programs.; Obtain certifications and adopt digital record-keeping.; Formalize your business and secure regular buyers.; Grow revenue or request loan size aligned to revenue.
Angel Riggs,Widow/er,08/08/1964,Robert Ville,Filipino,"Block 13 Lot 32 84th Road Extension, Osborne Grove 3, Roseller Lim, 6651 Antique",Owned (mortgaged),PhilSys-9375-8752,09214895134,samanthamartinez@example.org,Solis,Contreras Farm,"5199 Pao Street, Supa Subdivision Phase 3, Paombong, 9343 Davao del Sur",Owned (mortgaged),26,facebook.com/waltonfarm,2.79,125611,74229,24,Annually,Credit line,Loan takeout/refinancing,Secured Loan,Others,Asset Sale,Coconut,Transitioning to Organic,Sprinkler,Synthetic,Composting,Yes,10,Yes,Coop Member,No training,Female-led,Manual,None,None,Business Plan,23,14,7,8,12,64,Medium Risk,Use efficient irrigation (drip/sprinkler) or add composting/mulching.; Join a cooperative or attend training programs.; Obtain certifications and adopt digital record-keeping.; Formalize your business and secure regular buyers.; Grow revenue or request loan size aligned to revenue.
Destiny Strickland,Annulled,08/15/1992,Joshua Ville,Filipino,"5239-F Azalea Boulevard, General Santos, 6484 Capiz",Owned (mortgaged),PhilSys-2988-8478,09278895798,calebrussell@example.net,Owens,Brown Farm,"B25 L74 Matumtum Avenue, Campanilla Subdivision, Minalin, 9704 Tawi-Tawi",Living with relatives,27,facebook.com/navarrofarm,9.16,567574,133444,48,Annually,Term Loan,Purchase of biological asset,Unsecured Loan,Warehouse receipt,Salary/Allowance,Fruits,Organic,Drip,Synthetic,Crop Rotation,No,3,No,Supplier to community,No training,None,Manual,Fair Trade,Rice mill,Barangay Clearance,26,3,9,14,15,67,Medium Risk,Use efficient irrigation (drip/sprinkler) or add composting/mulching.; Join a cooperative or attend training programs.; Obtain certifications and adopt digital record-keeping.; Formalize your business and secure regular buyers.; Grow revenue or request loan size aligned to revenue.
Stephanie Freeman,Widow/er,03/21/1978,Todd Ville,Filipino,"22nd Floor Iriga Towers 9, 442 Palanan Road, Angat, 2193 Oriental Mindoro",Owned (mortgaged),PhilSys-4505-2052,09665876036,michellewhite@example.com,Gray,Lewis Farm,"Block 25 Lot 54 Amethyst Road, Cooke Homes Phase 4, Tubigon, 2131 Apayao",Living with relatives,29,facebook.com/websterfarm,7.93,829308,60240,48,Annually,Credit line,Acquisition of real estate,Secured Loan,None,Inheritance,Corn,Organic,Sprinkler,Organic,Mulching,No,7,Yes,Supplier to community,No training,None,None,Barangay Certificate,Rice mill,None,30,9,2,13,17,71,Medium Risk,Join a cooperative or attend training programs.; Obtain certifications and adopt digital record-keeping.; Formalize your business and secure regular buyers.; Grow revenue or request loan size aligned to revenue.
Christina Smith,Married,01/06/1970,David Ville,Filipino,"6044 Unit E 78th Road, Bugasong, 5135 Camarines Norte",Owned (unencumbered),PhilSys-7455-1444,09162720465,daniel04@example.net,Byrd,Rubio Farm,"Room 216 Terry Place 2, 9273 Reed Extension, Maigo, 2132 Quirino",Owned (mortgaged),15,facebook.com/hollandfarm,3.94,898207,248771,36,Annually,Term Loan,Purchase of biological asset,Unsecured Loan,None,Revenue,Coconut,Conventional,Drip,Organic,Crop Rotation,Yes,0,Yes,Coop Member,Attended training,None,Manual,Fair Trade,Rice mill,None,21,15,4,9,13,62,Medium Risk,Use efficient irrigation (drip/sprinkler) or add composting/mulching.; Join a cooperative or attend training programs.; Obtain certifications and adopt digital record-keeping.; Formalize your business and secure regular buyers.; Grow revenue or request loan size aligned to revenue.
Jason Henry,Single,02/23/1989,Cynthia Ville,Filipino,"B24 L67 Leo Road, Milflower Subdivision 5, Leganes, 6202 Biliran",Owned (mortgaged),PhilSys-8619-5198,09529912419,nicole37@example.net,Bishop,Gray Farm,"B16 L28 Baticulin Homes 5, Santan Street, Caloocan, 1458 Metro Manila",Owned (unencumbered),30,facebook.com/vaughanfarm,3.81,810250,246768,48,Monthly,Credit line,Business expansion,Unsecured Loan,Farm lot title,Others,Vegetables,Conventional,Rain-fed,Synthetic,None,No,10,No,Coop Member,No training,Female-led,Digital,Barangay Certificate,Local sari-sari stores,None,4,8,6,12,17,47,High Risk,Use efficient irrigation (drip/sprinkler) or add composting/mulching.; Join a cooperative or attend training programs.; Obtain certifications and adopt digital record-keeping.; Formalize your business and secure regular buyers.; Grow revenue or request loan size aligned to revenue.
Nathan Freeman,Separated,01/01/1976,Debbie Ville,Filipino,"1525 Garnet Extension, Guindulman, 3104 Zambales",Living with relatives,PhilSys-3506-8135,09284987769,thomas85@example.com,Barajas,Pierce Farm,"Block 10 Lot 33 16th Street, Halcon Village Phase 3, Datu Salibo, 2736 Pangasinan",Rented,11,facebook.com/hillfarm,8.67,971084,95436,36,Annually,Credit line,Purchase of biological asset,Secured Loan,Others,Salary/Allowance,Coconut,Transitioning to Organic,Drip,Organic,Water-Saving,No,2,No,Coop Member,No training,Employs women,Digital,GAP,Supermarket,Business Plan,26,7,11,11,17,72,Medium Risk,Use efficient irrigation (drip/sprinkler) or add composting/mulching.; Join a cooperative or attend training programs.; Obtain certifications and adopt digital record-keeping.; Formalize your business and secure regular buyers.; Grow revenue or request loan size aligned to revenue.
Paige Carlson,Annulled,06/27/1966,Kenneth Ville,Filipino,"8752 36th Avenue, Balamban, 4116 Kalinga",Owned (mortgaged),PhilSys-2402-4954,09678377701,danamullins@example.org,Salas,Andrews Farm,"Block 06 Lot 07 Ruby Avenue, Morales Cove Phase 1, Capalonga, 2461 Tarlac",Rented,8,facebook.com/averyfarm,4.64,355123,210540,36,Annually,Term Loan,Loan takeout/refinancing,Secured Loan,Warehouse receipt,Others,Fruits,Mixed,Drip,Synthetic,Composting,Yes,3,No,Coop Member,Attended training,Female-led,Manual,Barangay Certificate,Supermarket,DTI,20,12,9,9,12,62,Medium Risk,Use efficient irrigation (drip/sprinkler) or add composting/mulching.; Join a cooperative or attend training programs.; Obtain certifications and adopt digital record-keeping.; Formalize your business and secure regular buyers.; Grow revenue or request loan size aligned to revenue.
David Grant,Single,12/20/1987,Kimberly Ville,Filipino,"Block 19 Lot 55 Sunstone Road, Meza Grove, Tandubas, 2714 Ilocos Sur",Owned (mortgaged),PhilSys-5853-4727,09524082400,mooreglenn@example.org,Moore,Ortiz Farm,"Block 02 Lot 30 Jasper Street, Sunstone Grove 5, Tandag, 6105 Samar",Rented,23,facebook.com/wilsonfarm,9.5,768854,444679,48,Weekly,Credit line,Business expansion,Secured Loan,None,Inheritance,Fruits,Mixed,Flood,Organic,Mulching,No,1,Yes,Supplier to community,No training,Female-led,None,Organic,Rice mill,Barangay Clearance,18,12,7,13,13,63,Medium Risk,Use efficient irrigation (drip/sprinkler) or add composting/mulching.; Join a cooperative or attend training programs.; Obtain certifications and adopt digital record-keeping.; Formalize your business and secure regular buyers.; Grow revenue or request loan size aligned to revenue.
Chase Baker,Annulled,04/29/1969,Brian Ville,Filipino,"4729 Banahaw Road, Taurus Subdivision, Jamindan, 3899 Romblon",Rented,PhilSys-2395-5066,09186999386,mkim@example.org,Preston,Navarro Farm,"1497 87th Street, Siay, 4254 Albay",Living with relatives,30,facebook.com/keyfarm,4.98,717113,274830,36,Lump sum,Credit line,Business expansion,Unsecured Loan,Tractor,Others,Rice (Rain-fed),Mixed,Rain-fed,Organic,Composting,Yes,8,Yes,Coop Member,Attended training,Employs women,Digital,None,None,DTI,18,17,9,10,13,67,Medium Risk,Use efficient irrigation (drip/sprinkler) or add composting/mulching.; Join a cooperative or attend training programs.; Obtain certifications and adopt digital record-keeping.; Formalize your business and secure regular buyers.; Grow revenue or request loan size aligned to revenue.
Debra Williams,Single,07/27/1971,April Ville,Filipino,"1495 Unit H Kanlaon Extension, Lawaan, 7428 Compostela Valley",Owned (mortgaged),PhilSys-5720-5632,09713493618,robert74@example.net,Landry,Cervantes Farm,"B11 L33 Aquamarine Street, Piña Cove, Turtle Islands, 5510 Romblon",Owned (mortgaged),21,facebook.com/murrayfarm,2.34,378535,483392,24,Weekly,Credit line,Construction/Development of real estate,Secured Loan,Others,Others,Corn,Mixed,Sprinkler,Organic,Water-Saving,No,6,No,Not involved,No training,Employs women,Manual,None,Local sari-sari stores,None,23,2,2,10,12,49,High Risk,Use efficient irrigation (drip/sprinkler) or add composting/mulching.; Join a cooperative or attend training programs.; Obtain certifications and adopt digital record-keeping.; Formalize your business and secure regular buyers.; Grow revenue or request loan size aligned to revenue.
Joseph Dean,Separated,07/27/1993,Kathleen Ville,Filipino,"7942-H Johnson Road, Gregorio del Pilar, 4757 Camarines Norte",Rented,PhilSys-1423-2496,09399049027,andrea86@example.org,Walker,Skinner Farm,"2523 Sicaba Drive, Navotas, 1250 Metro Manila",Living with relatives,30,facebook.com/davenportfarm,3.5,713762,278529,48,Weekly,Term Loan,Acquisition of real estate,Secured Loan,Warehouse receipt,Savings,Coconut,Conventional,Flood,Synthetic,Water-Saving,No,4,No,Not involved,Attended training,Employs women,Manual,GAP,Supermarket,DTI,10,6,9,12,16,53,Medium Risk,Use efficient irrigation (drip/sprinkler) or add composting/mulching.; Join a cooperative or attend training programs.; Obtain certifications and adopt digital record-keeping.; Formalize your business and secure regular buyers.; Grow revenue or request loan size aligned to revenue.
Mrs. Kristen Reyes,Single,06/07/2000,Michelle Ville,Filipino,"Block 17 Lot 35 Campbell Drive, Mayon Subdivision Phase 9, Perez, 8813 Davao Oriental",Living with relatives,PhilSys-9431-1018,09876038597,ugibson@example.org,Pollard,Allen Farm,"B11 L96 Sicaba Street, Intsia Estates 8, Asturias, 2367 Quirino",Living with relatives,25,facebook.com/sanfordfarm,1.46,380028,337949,24,Quarterly,Term Loan,Purchase of equipment/motor vehicles,Secured Loan,Farm lot title,Revenue,Coconut,Organic,Flood,Synthetic,None,Yes,8,No,Coop Member,Attended training,Female-led,Digital,Organic,Rice mill,None,21,12,6,10,12,61,Medium Risk,Use efficient irrigation (drip/sprinkler) or add composting/mulching.; Join a cooperative or attend training programs.; Obtain certifications and adopt digital record-keeping.; Formalize your business and secure regular buyers.; Grow revenue or request loan size aligned to revenue.
Brian Kirk,Separated,06/07/1966,Alexis Ville,Filipino,"Room 217 Galaxy Residences 2, 5384 Virgo Extension, Lapuyan, 4417 Quezon",Rented,PhilSys-7807-8905,09737826398,williamsonjimmy@example.net,Mccall,Bright Farm,"B25 L82 Canopus Highway, Garnet Cove 6, Balangkayan, 6300 Negros Oriental",Owned (mortgaged),28,facebook.com/brooksfarm,1.63,910208,464190,48,Quarterly,Term Loan,Purchase of biological asset,Unsecured Loan,Warehouse receipt,Others,Vegetables,Transitioning to Organic,Flood,Synthetic,None,No,5,No,Not involved,No training,Employs women,Digital,Fair Trade,Rice mill,None,14,2,6,10,15,47,High Risk,Use efficient irrigation (drip/sprinkler) or add composting/mulching.; Join a cooperative or attend training programs.; Obtain certifications and adopt digital record-keeping.; Formalize your business and secure regular buyers.; Grow revenue or request loan size aligned to revenue.
Joseph Knight,Married,11/25/1971,Gregory Ville,Filipino,"2345 Unit J 60th Road, Palapag, 6222 Aklan",Living with relatives,PhilSys-1715-6213,09766270289,rsantana@example.net,Moore,Alexander Farm,"4902 Polaris Service Road, Carissa Grove, Mambusao, 5445 Pangasinan",Rented,28,facebook.com/rodriguezfarm,1.9,986088,280847,12,Lump sum,Term Loan,Working capital,Unsecured Loan,None,Others,Rice (Rain-fed),Conventional,Sprinkler,Synthetic,Mulching,No,10,Yes,Supplier to community,No training,Employs women,None,Barangay Certificate,Local sari-sari stores,Business Plan,13,11,7,10,15,56,Medium Risk,Use efficient irrigation (drip/sprinkler) or add composting/mulching.; Join a cooperative or attend training programs.; Obtain certifications and adopt digital record-keeping.; Formalize your business and secure regular buyers.; Grow revenue or request loan size aligned to revenue.
Ian Phillips,Married,09/27/1979,Tiffany Ville,Filipino,"804 Tamarind Road, Azucena Homes Phase 4, Tiaong, 2628 Ilocos Sur",Rented,PhilSys-4727-2480,09611724005,courtneyberger@example.net,Williams,Kramer Farm,"B03 L38 Kamias Estates Phase 4, 70th Street, Pasig, 1487 Metro Manila",Owned (unencumbered),10,facebook.com/shawfarm,4.23,551607,126320,24,Lump sum,Term Loan,Business expansion,Unsecured Loan,Tractor,Asset Sale,Rice (Irrigated),Transitioning to Organic,Flood,Synthetic,None,Yes,3,No,Not involved,No training,Employs women,Digital,Organic,None,DTI,16,2,11,6,14,49,High Risk,Use efficient irrigation (drip/sprinkler) or add composting/mulching.; Join a cooperative or attend training programs.; Obtain certifications and adopt digital record-keeping.; Formalize your business and secure regular buyers.; Grow revenue or request loan size aligned to revenue.
Christopher Sloan,Annulled,06/08/1992,Julie Ville,Filipino,"B05 L97 87th Street, Tamarind Homes Phase 2, Maragondon, 7057 Davao del Sur",Owned (mortgaged),PhilSys-2210-8237,09594647436,gibsonemily@example.net,Baker,James Farm,"B22 L30 Emerald Village Phase 6, Camia Road, Teresa, 6650 Leyte",Living with relatives,4,facebook.com/banksfarm,3.13,699704,238197,36,Quarterly,Credit line,Purchase of biological asset,Secured Loan,Warehouse receipt,Revenue,Corn,Conventional,Sprinkler,Synthetic,Composting,No,3,Yes,Not involved,No training,None,None,Fair Trade,Local sari-sari stores,Business Plan,14,6,7,7,15,49,High Risk,Use efficient irrigation (drip/sprinkler) or add composting/mulching.; Join a cooperative or attend training programs.; Obtain certifications and adopt digital record-keeping.; Formalize your business and secure regular buyers.; Grow revenue or request loan size aligned to revenue.
Andrew Johnson,Separated,03/03/1993,Colton Ville,Filipino,"Block 19 Lot 96 Mcclure Estates, Pao Extension, Jose Panganiban, 1984 Mountain Province",Living with relatives,PhilSys-1546-6977,09214562328,scottsampson@example.com,Garcia,Jennings Farm,"2F Agoho Building 8, 1502 Hercules Road, Sugbongcogon, 1937 Aurora",Rented,17,facebook.com/buchananfarm,5.52,385765,485406,24,Quarterly,Term Loan,Purchase of biological asset,Secured Loan,Warehouse receipt,Revenue,Fruits,Conventional,Flood,Organic,Water-Saving,No,1,No,Coop Member,No training,None,Manual,Barangay Certificate,Supermarket,DTI,15,5,9,10,9,48,High Risk,Use efficient irrigation (drip/sprinkler) or add composting/mulching.; Join a cooperative or attend training programs.; Obtain certifications and adopt digital record-keeping.; Formalize your business and secure regular buyers.; Grow revenue or request loan size aligned to revenue.
Cameron Cunningham,Annulled,04/25/1964,Brenda Ville,Filipino,"2371E 70th Drive, Cotabato City, 2300 Albay",Living with relatives,PhilSys-7086-2775,09370985931,alexistyler@example.org,Chapman,Smith Farm,"1863 Unit I Asteroid Road, Madamba, 3952 Zambales",Living with relatives,30,facebook.com/rodriguezfarm,7.31,780776,264064,12,Monthly,Credit line,Working capital,Secured Loan,None,Revenue,Rice (Irrigated),Organic,Flood,Synthetic,Water-Saving,No,10,No,Not involved,Attended training,Employs women,None,Organic,None,None,22,6,2,11,17,58,Medium Risk,Use efficient irrigation (drip/sprinkler) or add composting/mulching.; Join a cooperative or attend training programs.; Obtain certifications and adopt digital record-keeping.; Formalize your business and secure regular buyers.; Grow revenue or request loan size aligned to revenue.
Theresa Williams,Separated,02/17/1995,Stephen Ville,Filipino,"Block 14 Lot 88 Henry Street, Lam Homes 3, Makati, 0658 Metro Manila",Owned (unencumbered),PhilSys-7070-4559,09773515850,claudia98@example.net,Nguyen,Vang Farm,"Block 04 Lot 90 Farrell Road Extension, Jordan Grove 7, Loay, 5339 Pampanga",Living with relatives,9,facebook.com/rossfarm,2.71,228093,494613,48,Weekly,Credit line,Purchase of equipment/motor vehicles,Unsecured Loan,Farm lot title,Savings,Rice (Rain-fed),Organic,Flood,Organic,None,Yes,9,Yes,Coop Member,No training,Female-led,None,Organic,Supermarket,Barangay Clearance,26,14,7,8,10,65,Medium Risk,Use efficient irrigation (drip/sprinkler) or add composting/mulching.; Join a cooperative or attend training programs.; Obtain certifications and adopt digital record-keeping.; Formalize your business and secure regular buyers.; Grow revenue or request loan size aligned to revenue.
